ID,BRF,Name,Device,Test Data,Steps,Expected
QC-001,BRF-17928,Realizar baja del canal PBS KIDS · El Salvador · Android TV STV,Android TV STV,"País: El Salvador
Canal: PBS KIDS
Frecuencia: 169
Dispositivo: Android TV STV
Superficies: Mosaico, Buscador","1. Consultar la grilla de programación.
2. Consultar el mosaico de canales.
3. Buscar ""PBS KIDS"" en el Buscador.
4. Consultar el carrusel de canales de TV en vivo.
5. Consultar los carruseles de categorías.
6. Verificar la frecuencia 169.","1. PBS KIDS (169) no se muestra en la grilla de programación.
2. PBS KIDS (169) no se muestra en el mosaico de canales.
3. PBS KIDS no aparece como resultado de búsqueda.
4. PBS KIDS (169) no se muestra en el carrusel de canales de TV en vivo.
5. PBS KIDS (169) no se muestra en ningún carrusel de categoría.
6. La frecuencia 169 correspondiente a PBS KIDS no está presente en Claro video."
QC-002,BRF-17928,Realizar baja del canal PBS KIDS · El Salvador · Fire TV,Fire TV,"País: El Salvador
Canal: PBS KIDS
Frecuencia: 169
Dispositivo: Fire TV
Superficies: Mosaico, Buscador","1. Consultar la grilla de programación.
2. Consultar el mosaico de canales.
3. Buscar ""PBS KIDS"" en el Buscador.
4. Consultar el carrusel de canales de TV en vivo.
5. Consultar los carruseles de categorías.
6. Verificar la frecuencia 169.","1. PBS KIDS (169) no se muestra en la grilla de programación.
2. PBS KIDS (169) no se muestra en el mosaico de canales.
3. PBS KIDS no aparece como resultado de búsqueda.
4. PBS KIDS (169) no se muestra en el carrusel de canales de TV en vivo.
5. PBS KIDS (169) no se muestra en ningún carrusel de categoría.
6. La frecuencia 169 correspondiente a PBS KIDS no está presente en Claro video."
QC-003,BRF-17928,Realizar baja del canal PBS KIDS · El Salvador · Consolas,Consolas,"País: El Salvador
Canal: PBS KIDS
Frecuencia: 169
Dispositivo: Consolas
Superficies: Mosaico, Buscador","1. Consultar la grilla de programación.
2. Consultar el mosaico de canales.
3. Buscar ""PBS KIDS"" en el Buscador.
4. Consultar el carrusel de canales de TV en vivo.
5. Consultar los carruseles de categorías.
6. Verificar la frecuencia 169.","1. PBS KIDS (169) no se muestra en la grilla de programación.
2. PBS KIDS (169) no se muestra en el mosaico de canales.
3. PBS KIDS no aparece como resultado de búsqueda.
4. PBS KIDS (169) no se muestra en el carrusel de canales de TV en vivo.
5. PBS KIDS (169) no se muestra en ningún carrusel de categoría.
6. La frecuencia 169 correspondiente a PBS KIDS no está presente en Claro video."
QC-004,BRF-17928,Realizar baja del canal PBS KIDS · El Salvador · Android,Android,"País: El Salvador
Canal: PBS KIDS
Frecuencia: 169
Dispositivo: Android
Superficies: Mosaico, Buscador","1. Consultar la grilla de programación.
2. Consultar el mosaico de canales.
3. Buscar ""PBS KIDS"" en el Buscador.
4. Consultar el carrusel de canales de TV en vivo.
5. Consultar los carruseles de categorías.
6. Verificar la frecuencia 169.","1. PBS KIDS (169) no se muestra en la grilla de programación.
2. PBS KIDS (169) no se muestra en el mosaico de canales.
3. PBS KIDS no aparece como resultado de búsqueda.
4. PBS KIDS (169) no se muestra en el carrusel de canales de TV en vivo.
5. PBS KIDS (169) no se muestra en ningún carrusel de categoría.
6. La frecuencia 169 correspondiente a PBS KIDS no está presente en Claro video."
QC-005,BRF-17928,Realizar baja del canal PBS KIDS · El Salvador · Windows/XBOX,Windows/XBOX,"País: El Salvador
Canal: PBS KIDS
Frecuencia: 169
Dispositivo: Windows/XBOX
Superficies: Mosaico, Buscador","1. Consultar la grilla de programación.
2. Consultar el mosaico de canales.
3. Buscar ""PBS KIDS"" en el Buscador.
4. Consultar el carrusel de canales de TV en vivo.
5. Consultar los carruseles de categorías.
6. Verificar la frecuencia 169.","1. PBS KIDS (169) no se muestra en la grilla de programación.
2. PBS KIDS (169) no se muestra en el mosaico de canales.
3. PBS KIDS no aparece como resultado de búsqueda.
4. PBS KIDS (169) no se muestra en el carrusel de canales de TV en vivo.
5. PBS KIDS (169) no se muestra en ningún carrusel de categoría.
6. La frecuencia 169 correspondiente a PBS KIDS no está presente en Claro video."
QC-006,BRF-17928,Realizar baja del canal PBS KIDS · El Salvador · tvOS,tvOS,"País: El Salvador
Canal: PBS KIDS
Frecuencia: 169
Dispositivo: tvOS
Superficies: Mosaico, Buscador","1. Consultar la grilla de programación.
2. Consultar el mosaico de canales.
3. Buscar ""PBS KIDS"" en el Buscador.
4. Consultar el carrusel de canales de TV en vivo.
5. Consultar los carruseles de categorías.
6. Verificar la frecuencia 169.","1. PBS KIDS (169) no se muestra en la grilla de programación.
2. PBS KIDS (169) no se muestra en el mosaico de canales.
3. PBS KIDS no aparece como resultado de búsqueda.
4. PBS KIDS (169) no se muestra en el carrusel de canales de TV en vivo.
5. PBS KIDS (169) no se muestra en ningún carrusel de categoría.
6. La frecuencia 169 correspondiente a PBS KIDS no está presente en Claro video."
QC-007,BRF-17928,Realizar baja del canal PBS KIDS · El Salvador · iOS,iOS,"País: El Salvador
Canal: PBS KIDS
Frecuencia: 169
Dispositivo: iOS
Superficies: Mosaico, Buscador","1. Consultar la grilla de programación.
2. Consultar el mosaico de canales.
3. Buscar ""PBS KIDS"" en el Buscador.
4. Consultar el carrusel de canales de TV en vivo.
5. Consultar los carruseles de categorías.
6. Verificar la frecuencia 169.","1. PBS KIDS (169) no se muestra en la grilla de programación.
2. PBS KIDS (169) no se muestra en el mosaico de canales.
3. PBS KIDS no aparece como resultado de búsqueda.
4. PBS KIDS (169) no se muestra en el carrusel de canales de TV en vivo.
5. PBS KIDS (169) no se muestra en ningún carrusel de categoría.
6. La frecuencia 169 correspondiente a PBS KIDS no está presente en Claro video."
QC-008,BRF-17928,Realizar baja del canal PBS KIDS · El Salvador · Roku,Roku,"País: El Salvador
Canal: PBS KIDS
Frecuencia: 169
Dispositivo: Roku
Superficies: Mosaico, Buscador","1. Consultar la grilla de programación.
2. Consultar el mosaico de canales.
3. Buscar ""PBS KIDS"" en el Buscador.
4. Consultar el carrusel de canales de TV en vivo.
5. Consultar los carruseles de categorías.
6. Verificar la frecuencia 169.","1. PBS KIDS (169) no se muestra en la grilla de programación.
2. PBS KIDS (169) no se muestra en el mosaico de canales.
3. PBS KIDS no aparece como resultado de búsqueda.
4. PBS KIDS (169) no se muestra en el carrusel de canales de TV en vivo.
5. PBS KIDS (169) no se muestra en ningún carrusel de categoría.
6. La frecuencia 169 correspondiente a PBS KIDS no está presente en Claro video."
QC-009,BRF-17928,Realizar baja del canal PBS KIDS · El Salvador · AAF,AAF,"País: El Salvador
Canal: PBS KIDS
Frecuencia: 169
Dispositivo: AAF
Superficies: Mosaico, Buscador","1. Consultar la grilla de programación.
2. Consultar el mosaico de canales.
3. Buscar ""PBS KIDS"" en el Buscador.
4. Consultar el carrusel de canales de TV en vivo.
5. Consultar los carruseles de categorías.
6. Verificar la frecuencia 169.","1. PBS KIDS (169) no se muestra en la grilla de programación.
2. PBS KIDS (169) no se muestra en el mosaico de canales.
3. PBS KIDS no aparece como resultado de búsqueda.
4. PBS KIDS (169) no se muestra en el carrusel de canales de TV en vivo.
5. PBS KIDS (169) no se muestra en ningún carrusel de categoría.
6. La frecuencia 169 correspondiente a PBS KIDS no está presente en Claro video."
QC-010,BRF-17928,Realizar baja del canal PBS KIDS · El Salvador · WEB,WEB,"País: El Salvador
Canal: PBS KIDS
Frecuencia: 169
Dispositivo: WEB
Superficies: Mosaico, Buscador","1. Consultar la grilla de programación.
2. Consultar el mosaico de canales.
3. Buscar ""PBS KIDS"" en el Buscador.
4. Consultar el carrusel de canales de TV en vivo.
5. Consultar los carruseles de categorías.
6. Verificar la frecuencia 169.","1. PBS KIDS (169) no se muestra en la grilla de programación.
2. PBS KIDS (169) no se muestra en el mosaico de canales.
3. PBS KIDS no aparece como resultado de búsqueda.
4. PBS KIDS (169) no se muestra en el carrusel de canales de TV en vivo.
5. PBS KIDS (169) no se muestra en ningún carrusel de categoría.
6. La frecuencia 169 correspondiente a PBS KIDS no está presente en Claro video."
