BRF,HN,behavior,device,channel,generated,reason
BRF-17844,HN002; HN003; HN004; HN005; HN006; HN007; HN008; HN009; HN010,Implementar logotipo de canales declarados,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN002; HN003; HN004; HN005; HN006; HN007; HN008; HN009; HN010,Implementar logotipo de canales declarados,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN002; HN003; HN004; HN005; HN006; HN007; HN008; HN009; HN010,Implementar logotipo de canales declarados,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN002; HN003; HN004; HN005; HN006; HN007; HN008; HN009; HN010,Implementar logotipo de canales declarados,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN002; HN003; HN004; HN005; HN006; HN007; HN008; HN009; HN010,Implementar logotipo de canales declarados,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN002; HN003; HN004; HN005; HN006; HN007; HN008; HN009; HN010,Implementar logotipo de canales declarados,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN002; HN003; HN004; HN005; HN006; HN007; HN008; HN009; HN010,Implementar logotipo de canales declarados,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN002; HN003; HN004; HN005; HN006; HN007; HN008; HN009; HN010,Implementar logotipo de canales declarados,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN002; HN003; HN004; HN005; HN006; HN007; HN008; HN009; HN010,Implementar logotipo de canales declarados,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN002; HN003; HN004; HN005; HN006; HN007; HN008; HN009; HN010,Implementar logotipo de canales declarados,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN001,Realizar alta de los canales de Claro Sport UEFA,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN001,Realizar alta de los canales de Claro Sport UEFA,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN001,Realizar alta de los canales de Claro Sport UEFA,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN001,Realizar alta de los canales de Claro Sport UEFA,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN001,Realizar alta de los canales de Claro Sport UEFA,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN001,Realizar alta de los canales de Claro Sport UEFA,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN001,Realizar alta de los canales de Claro Sport UEFA,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN001,Realizar alta de los canales de Claro Sport UEFA,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN001,Realizar alta de los canales de Claro Sport UEFA,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN001,Realizar alta de los canales de Claro Sport UEFA,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN011,Integrar URLs,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN011,Integrar URLs,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN011,Integrar URLs,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN011,Integrar URLs,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN011,Integrar URLs,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN011,Integrar URLs,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN011,Integrar URLs,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN011,Integrar URLs,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN011,Integrar URLs,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17844,HN011,Integrar URLs,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN001,Actualizar el precio del Type EST EXC 39 UNI,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN001,Actualizar el precio del Type EST EXC 39 UNI,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN001,Actualizar el precio del Type EST EXC 39 UNI,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN001,Actualizar el precio del Type EST EXC 39 UNI,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN001,Actualizar el precio del Type EST EXC 39 UNI,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN001,Actualizar el precio del Type EST EXC 39 UNI,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN001,Actualizar el precio del Type EST EXC 39 UNI,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN001,Actualizar el precio del Type EST EXC 39 UNI,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN001,Actualizar el precio del Type EST EXC 39 UNI,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN001,Actualizar el precio del Type EST EXC 39 UNI,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN002,Valores de configuración,—,—,False,OUT_OF_SCOPE; 0 TCs.
BRF-17834,HN003,Habilitar medios de pago,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN003,Habilitar medios de pago,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN003,Habilitar medios de pago,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN003,Habilitar medios de pago,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN003,Habilitar medios de pago,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN003,Habilitar medios de pago,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN003,Habilitar medios de pago,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN003,Habilitar medios de pago,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN003,Habilitar medios de pago,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN003,Habilitar medios de pago,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN004,Implementar comunicación,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN004,Implementar comunicación,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN004,Implementar comunicación,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN004,Implementar comunicación,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN004,Implementar comunicación,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN004,Implementar comunicación,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN004,Implementar comunicación,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN004,Implementar comunicación,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN004,Implementar comunicación,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17834,HN004,Implementar comunicación,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17847,HN001,Obtener las plantillas de comunicación de la plataforma,—,Email,False,OUT_OF_SCOPE; 0 TCs.
BRF-17847,HN002,Obtener las plantillas de comunicación de los Addons,—,—,False,OUT_OF_SCOPE; 0 TCs.
BRF-17577,—,Fuera de alcance QC: dependencia técnica/infra,—,—,False,OUT_OF_SCOPE; 0 TCs.
BRF-17465,HN001,Realizar alta del canal América TV,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN001,Realizar alta del canal América TV,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN001,Realizar alta del canal América TV,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN001,Realizar alta del canal América TV,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN001,Realizar alta del canal América TV,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN001,Realizar alta del canal América TV,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN001,Realizar alta del canal América TV,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN001,Realizar alta del canal América TV,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN001,Realizar alta del canal América TV,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN001,Realizar alta del canal América TV,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN003,Integrar URLs,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN003,Integrar URLs,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN003,Integrar URLs,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN003,Integrar URLs,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN003,Integrar URLs,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN003,Integrar URLs,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN003,Integrar URLs,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN003,Integrar URLs,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN003,Integrar URLs,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN003,Integrar URLs,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN004,Incluir canal América TV en paquetes de OTT,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN004,Incluir canal América TV en paquetes de OTT,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN004,Incluir canal América TV en paquetes de OTT,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN004,Incluir canal América TV en paquetes de OTT,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN004,Incluir canal América TV en paquetes de OTT,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN004,Incluir canal América TV en paquetes de OTT,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN004,Incluir canal América TV en paquetes de OTT,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN004,Incluir canal América TV en paquetes de OTT,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN004,Incluir canal América TV en paquetes de OTT,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN004,Incluir canal América TV en paquetes de OTT,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN005,No implementar chapita al canal América TV,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN005,No implementar chapita al canal América TV,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN005,No implementar chapita al canal América TV,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN005,No implementar chapita al canal América TV,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN005,No implementar chapita al canal América TV,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN005,No implementar chapita al canal América TV,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN005,No implementar chapita al canal América TV,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN005,No implementar chapita al canal América TV,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN005,No implementar chapita al canal América TV,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN005,No implementar chapita al canal América TV,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN006,Visualización de canales en carrusel Locales del subnodo TV Básica,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN006,Visualización de canales en carrusel Locales del subnodo TV Básica,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN006,Visualización de canales en carrusel Locales del subnodo TV Básica,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN006,Visualización de canales en carrusel Locales del subnodo TV Básica,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN006,Visualización de canales en carrusel Locales del subnodo TV Básica,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN006,Visualización de canales en carrusel Locales del subnodo TV Básica,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN006,Visualización de canales en carrusel Locales del subnodo TV Básica,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN006,Visualización de canales en carrusel Locales del subnodo TV Básica,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN006,Visualización de canales en carrusel Locales del subnodo TV Básica,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN006,Visualización de canales en carrusel Locales del subnodo TV Básica,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN007,Habilitar Timeshift en paquetes IPTV,STB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN008,Habilitar NPVR en paquetes IPTV,STB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN009,Habilitar funcionalidad TV Everywhere,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN009,Habilitar funcionalidad TV Everywhere,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN009,Habilitar funcionalidad TV Everywhere,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN009,Habilitar funcionalidad TV Everywhere,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN009,Habilitar funcionalidad TV Everywhere,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
