validation_pattern,BRF,EPCs,HN/CA,behavior,behavior_reason,surfaces,channel,ecosystem,applicable_devices,relevant_users,transactional,MDP,test_data,origin,source,hn_source,scope_status,reasoning,duplicate_risk,duplicate_with,QC_REVIEW,evidence
HN_CONFLUENCE,BRF-17442,EPC-21813; EPC-21842,HN001,Iniciar el flujo de contratación,"HN001 describe un comportamiento funcional verificable (HN ≠ TC). Los EPC del BRF se conservan como trazabilidad; no multiplican esta fila. Las superficies listadas son dimensión de cobertura, no un comportamiento por superficie. Transaccional porque el título/HN declara inicio o flujo de contratación/pago.",Landing Comercial; Plan Selector; Home del add-on; Mi cuenta/Suscripción; vCard,,OTT,WEB; AAF; Android; iOS; tvOS; Windows/XBOX; Consolas; Roku; Fire TV; Android TV STV,,True,,"BRF: BRF-17442
HN: HN001
Superficies: Landing Comercial, Plan Selector, Home del add-on, Mi cuenta/Suscripción, vCard",directo,Confluence,CONFLUENCE,IN_SCOPE,"Fuente HN001 (Iniciar el flujo de contratación). EPC consolidado: EPC-21813, EPC-21842. Superficies/canal de cobertura: Landing Comercial, Plan Selector, Home del add-on, Mi cuenta/Suscripción, vCard. Dispositivos aplicables: WEB, AAF, Android, iOS, tvOS, Windows/XBOX, Consolas, Roku, Fire TV, Android TV STV. Sin split de usuario: la HN no diferencia tipos de usuario. Transaccional sin MDP explícito en la HN: no se inventa catálogo de pago.",UNIQUE,,False,"BRF: BRF-17442
HN: HN001
Comportamiento: BRF-17442:HN001:iniciar-el-flujo-de-contrataci-n
Fuente HN: CONFLUENCE
Confluence: pageId=6399164496
Extracto: Iniciar el flujo de contratación

 Historia de negocio
 Yo como negocio de Claro Uruguay
 Quiero habilitar el inicio del flujo de contratación Norte-Sur al add on Sony One
 Para permitir al usuario realizar la contratación desde la plataforma.

 Criterios de aceptación
 Se debe asegurar que el usuario pueda iniciar el flujo transaccional desde las siguientes secciones de la plataforma:
 Plan selec"
HN_CONFLUENCE,BRF-17442,EPC-21813; EPC-21842,HN002,Implementar logos del add on Sony One,"HN002 describe un comportamiento funcional verificable (HN ≠ TC). Los EPC del BRF se conservan como trazabilidad; no multiplican esta fila. Las superficies listadas son dimensión de cobertura, no un comportamiento por superficie.",Landing Comercial; Plan Selector; Checkout; Ticket,,OTT,WEB; AAF; Android; iOS; tvOS; Windows/XBOX; Consolas; Roku; Fire TV; Android TV STV,,False,,"BRF: BRF-17442
HN: HN002
Superficies: Landing Comercial, Plan Selector, Checkout, Ticket
Figma: figma.com/design/psrFkITfuRUxSgEif2Nha1/Assets-AddOns_SonyOne?node-id=0-1&t=RAGOYreNOv9JGXAc-1; figma.com/design/psrFkITfuRUxSgEif2Nha1/Assets-AddOns_SonyOne?node-id=1-1796&t=IPYorOPcwsg2xgI8-1",directo,Confluence,CONFLUENCE,IN_SCOPE,"Fuente HN002 (Implementar logos del add on Sony One). EPC consolidado: EPC-21813, EPC-21842. Superficies/canal de cobertura: Landing Comercial, Plan Selector, Checkout, Ticket. Dispositivos aplicables: WEB, AAF, Android, iOS, tvOS, Windows/XBOX, Consolas, Roku, Fire TV, Android TV STV. Sin split de usuario: la HN no diferencia tipos de usuario.",UNIQUE,,False,"BRF: BRF-17442
HN: HN002
Comportamiento: BRF-17442:HN002:implementar-logos-del-add-on-sony-one
Fuente HN: CONFLUENCE
Confluence: pageId=6399164496
Extracto: Implementar logos del add on Sony One

 Historia de negocio
 Yo como negocio de Claro Uruguay
 Quiero implementar los logos del add on Sony One en todas las secciones de la plataforma
 Para identificar el add on entre las ofertas comerciales que tiene la operación.

 Criterios de aceptación
 Se deben implementar los logos del add on Sony One en las siguientes secciones de la plataforma:
 Plan sele"
HN_CONFLUENCE,BRF-17442,EPC-21813; EPC-21842,HN003,Implementar tarjeta en Plan Selector,"HN003 describe un comportamiento funcional verificable (HN ≠ TC). Los EPC del BRF se conservan como trazabilidad; no multiplican esta fila. Las superficies listadas son dimensión de cobertura, no un comportamiento por superficie.",Plan Selector,,OTT,WEB; AAF; Android; iOS; tvOS; Windows/XBOX; Consolas; Roku; Fire TV; Android TV STV,,False,,"BRF: BRF-17442
HN: HN003
Superficies: Plan Selector
Figma: figma.com/design/psrFkITfuRUxSgEif2Nha1/Assets-AddOns_SonyOne?node-id=1601-5",directo,Confluence,CONFLUENCE,IN_SCOPE,"Fuente HN003 (Implementar tarjeta en Plan Selector). EPC consolidado: EPC-21813, EPC-21842. Superficies/canal de cobertura: Plan Selector. Dispositivos aplicables: WEB, AAF, Android, iOS, tvOS, Windows/XBOX, Consolas, Roku, Fire TV, Android TV STV. Sin split de usuario: la HN no diferencia tipos de usuario.",UNIQUE,,False,"BRF: BRF-17442
HN: HN003
Comportamiento: BRF-17442:HN003:implementar-tarjeta-en-plan-selector
Fuente HN: CONFLUENCE
Confluence: pageId=6399164496
Extracto: Implementar tarjeta en Plan Selector

 Historia de negocio
 Yo como negocio de Claro Uruguay
 Quiero implementar la tarjeta del add on Sony One en el Plan Selector
 Para mostrar al usuario el add on como una oferta comercial disponible para contratación.

 Criterios de aceptación
 Cuando el usuario ingrese al plan selector, se debe visualizar la siguiente tarjeta correspondiente al add on: https:/"
HN_CONFLUENCE,BRF-17442,EPC-21813; EPC-21842,HN004,Implementar Superdestacado en Landing Comercial,"HN004 describe un comportamiento funcional verificable (HN ≠ TC). Los EPC del BRF se conservan como trazabilidad; no multiplican esta fila. Las superficies listadas son dimensión de cobertura, no un comportamiento por superficie.",Landing Comercial; Superdestacado,,OTT,WEB; AAF; Android; iOS; tvOS; Windows/XBOX; Consolas; Roku; Fire TV; Android TV STV,,False,,"BRF: BRF-17442
HN: HN004
Superficies: Landing Comercial, Superdestacado
Figma: figma.com/design/psrFkITfuRUxSgEif2Nha1/Assets-AddOns_SonyOne?node-id=1601-29",directo,Confluence,CONFLUENCE,IN_SCOPE,"Fuente HN004 (Implementar Superdestacado en Landing Comercial). EPC consolidado: EPC-21813, EPC-21842. Superficies/canal de cobertura: Landing Comercial, Superdestacado. Dispositivos aplicables: WEB, AAF, Android, iOS, tvOS, Windows/XBOX, Consolas, Roku, Fire TV, Android TV STV. Sin split de usuario: la HN no diferencia tipos de usuario.",UNIQUE,,False,"BRF: BRF-17442
HN: HN004
Comportamiento: BRF-17442:HN004:implementar-superdestacado-en-landing-comercial
Fuente HN: CONFLUENCE
Confluence: pageId=6399164496
Extracto: Implementar Superdestacado en Landing Comercial

 Historia de negocio
 Yo como negocio de Claro Uruguay
 Quiero implementar la imagen del Superdestacado del add on Sony One en la landing comercial
 Para promocionar los contenidos indicados por el proveedor.

 Criterios de aceptación
 Cuando el usuario acceda a la landing comercial del add on, se debe visualizar el superdestacado compartido en: htt"
HN_CONFLUENCE,BRF-17442,EPC-21813; EPC-21842,HN005,Integrar imágenes secundarias en Landing Comercial,"HN005 describe un comportamiento funcional verificable (HN ≠ TC). Los EPC del BRF se conservan como trazabilidad; no multiplican esta fila. Las superficies listadas son dimensión de cobertura, no un comportamiento por superficie.",Landing Comercial,,OTT,WEB; AAF; Android; iOS; tvOS; Windows/XBOX; Consolas; Roku; Fire TV; Android TV STV,,False,,"BRF: BRF-17442
HN: HN005
Superficies: Landing Comercial",directo,Confluence,CONFLUENCE,IN_SCOPE,"Fuente HN005 (Integrar imágenes secundarias en Landing Comercial). EPC consolidado: EPC-21813, EPC-21842. Superficies/canal de cobertura: Landing Comercial. Dispositivos aplicables: WEB, AAF, Android, iOS, tvOS, Windows/XBOX, Consolas, Roku, Fire TV, Android TV STV. Sin split de usuario: la HN no diferencia tipos de usuario.",UNIQUE,,False,"BRF: BRF-17442
HN: HN005
Comportamiento: BRF-17442:HN005:integrar-im-genes-secundarias-en-landing-comercial
Fuente HN: CONFLUENCE
Confluence: pageId=6399164496
Extracto: Integrar imágenes secundarias en Landing Comercial

 Historia de negocio
 Yo como negocio de Claro Uruguay
 Quiero integrar las imágenes secundarias en la Landing Comercial
 Para promocionar el add on con los contenidos indicados por el proveedor.

 Criterios de aceptación
 Se deben implementar las imágenes secundarias de acuerdo a la posición indicada:
 Horizontal (1): L.A.s FINEST

 Horizontal ("
HN_CONFLUENCE,BRF-17442,EPC-21813; EPC-21842,HN006,Implementar imagen de contenido en la pantalla Checkout,"HN006 describe un comportamiento funcional verificable (HN ≠ TC). Los EPC del BRF se conservan como trazabilidad; no multiplican esta fila. Las superficies listadas son dimensión de cobertura, no un comportamiento por superficie.",Checkout,,OTT,tvOS; Android TV STV; Roku; Fire TV,,False,,"BRF: BRF-17442
HN: HN006
Superficies: Checkout",directo,Confluence,CONFLUENCE,IN_SCOPE,"Fuente HN006 (Implementar imagen de contenido en la pantalla Checkout). EPC consolidado: EPC-21813, EPC-21842. Superficies/canal de cobertura: Checkout. Dispositivos aplicables: tvOS, Android TV STV, Roku, Fire TV. Sin split de usuario: la HN no diferencia tipos de usuario.",UNIQUE,,False,"BRF: BRF-17442
HN: HN006
Comportamiento: BRF-17442:HN006:implementar-imagen-de-contenido-en-la-pantalla-checkout
Fuente HN: CONFLUENCE
Confluence: pageId=6399164496
Extracto: Implementar imagen de contenido en la pantalla Checkout

 Historia de negocio
 Yo como negocio de Claro Uruguay
 Quiero implementar la imagen de contenido del add on Sony One en la pantalla Checkout
 Para mostrar al usuario la imagen correspondiente durante el proceso de suscripción.

 Criterios de aceptación
 Aplica para dispositivos con experiencia de tele.

 En la pantalla Checkout del add on S"
HN_CONFLUENCE,BRF-17442,EPC-21813; EPC-21842,HN007,Implementar imagen de contenido en la pantalla Ticket,"HN007 describe un comportamiento funcional verificable (HN ≠ TC). Los EPC del BRF se conservan como trazabilidad; no multiplican esta fila. Las superficies listadas son dimensión de cobertura, no un comportamiento por superficie.",Ticket,,OTT,tvOS; Android TV STV; Roku; Fire TV,,False,,"BRF: BRF-17442
HN: HN007
Superficies: Ticket",directo,Confluence,CONFLUENCE,IN_SCOPE,"Fuente HN007 (Implementar imagen de contenido en la pantalla Ticket). EPC consolidado: EPC-21813, EPC-21842. Superficies/canal de cobertura: Ticket. Dispositivos aplicables: tvOS, Android TV STV, Roku, Fire TV. Sin split de usuario: la HN no diferencia tipos de usuario.",UNIQUE,,False,"BRF: BRF-17442
HN: HN007
Comportamiento: BRF-17442:HN007:implementar-imagen-de-contenido-en-la-pantalla-ticket
Fuente HN: CONFLUENCE
Confluence: pageId=6399164496
Extracto: Implementar imagen de contenido en la pantalla Ticket

 Historia de negocio
 Yo como negocio de Claro Uruguay
 Quiero implementar la imagen de contenido del add on Sony One en la pantalla Ticket
 Para mostrar al usuario la imagen correspondiente durante el proceso de suscripción.

 Criterios de aceptación
 Aplica para dispositivos con experiencia de tele.

 En la pantalla Checkout del add on Sony "
HN_CONFLUENCE,BRF-17442,EPC-21813; EPC-21842,HN008,Implementar imagen en Carrusel Premium,"HN008 describe un comportamiento funcional verificable (HN ≠ TC). Los EPC del BRF se conservan como trazabilidad; no multiplican esta fila. Las superficies listadas son dimensión de cobertura, no un comportamiento por superficie.",Carrusel Premium; Home del add-on,,OTT,WEB; AAF; Android; iOS; tvOS; Windows/XBOX; Consolas; Roku; Fire TV; Android TV STV,,False,,"BRF: BRF-17442
HN: HN008
Superficies: Carrusel Premium, Home del add-on
Figma: figma.com/design/psrFkITfuRUxSgEif2Nha1/Assets-AddOns_SonyOne?node-id=1-1843&t=IPYorOPcwsg2xgI8-1",directo,Confluence,CONFLUENCE,IN_SCOPE,"Fuente HN008 (Implementar imagen en Carrusel Premium). EPC consolidado: EPC-21813, EPC-21842. Superficies/canal de cobertura: Carrusel Premium, Home del add-on. Dispositivos aplicables: WEB, AAF, Android, iOS, tvOS, Windows/XBOX, Consolas, Roku, Fire TV, Android TV STV. Sin split de usuario: la HN no diferencia tipos de usuario.",UNIQUE,,False,"BRF: BRF-17442
HN: HN008
Comportamiento: BRF-17442:HN008:implementar-imagen-en-carrusel-premium
Fuente HN: CONFLUENCE
Confluence: pageId=6399164496
Extracto: Implementar imagen en Carrusel Premium

 Historia de negocio
 Yo como negocio de Claro Uruguay
 Quiero implementar la imagen comercial del add on Sony One en el carrusel de Canales Premium
 Para dirigir al usuario a la home del add on.

 Criterios de aceptación
 Se debe implementar la imagen compartida en: https://www.figma.com/design/psrFkITfuRUxSgEif2Nha1/Assets-AddOns_SonyOne?node-id=1-1843&t=I"
HN_CONFLUENCE,BRF-17442,EPC-21813; EPC-21842,HN009,Habilitar home del add on Sony One,"HN009 describe un comportamiento funcional verificable (HN ≠ TC). Los EPC del BRF se conservan como trazabilidad; no multiplican esta fila. Las superficies listadas son dimensión de cobertura, no un comportamiento por superficie.",Home del add-on; Superdestacado,,OTT,WEB; AAF; Android; iOS; tvOS; Windows/XBOX; Consolas; Roku; Fire TV; Android TV STV,,False,,"BRF: BRF-17442
HN: HN009
Superficies: Home del add-on, Superdestacado",directo,Confluence,CONFLUENCE,IN_SCOPE,"Fuente HN009 (Habilitar home del add on Sony One). EPC consolidado: EPC-21813, EPC-21842. Superficies/canal de cobertura: Home del add-on, Superdestacado. Dispositivos aplicables: WEB, AAF, Android, iOS, tvOS, Windows/XBOX, Consolas, Roku, Fire TV, Android TV STV. Sin split de usuario: la HN no diferencia tipos de usuario.",UNIQUE,,False,"BRF: BRF-17442
HN: HN009
Comportamiento: BRF-17442:HN009:habilitar-home-del-add-on-sony-one
Fuente HN: CONFLUENCE
Confluence: pageId=6399164496
Extracto: Habilitar home del add on Sony One

 Historia de negocio
 Yo como negocio de Claro Uruguay
 Quiero habilitar home del add on Sony One
 Para permitir a los usuarios visualizar el contenido incluido en esta oferta.

 Criterios de aceptación
 Se deben habilitar las siguientes secciones en la home del add on:
 Header

 Superdestacado

 Categorías para los contenidos del add on

 Carruseles de contenid"
HN_CONFLUENCE,BRF-17442,EPC-21813; EPC-21842,HN010,Habilitar brand header,"HN010 describe un comportamiento funcional verificable (HN ≠ TC). Los EPC del BRF se conservan como trazabilidad; no multiplican esta fila. Las superficies listadas son dimensión de cobertura, no un comportamiento por superficie.",Home del add-on; Brand header,,OTT,WEB; AAF; Android; iOS; tvOS; Windows/XBOX; Consolas; Roku; Fire TV; Android TV STV,,False,,"BRF: BRF-17442
HN: HN010
Superficies: Home del add-on, Brand header
Figma: figma.com/design/psrFkITfuRUxSgEif2Nha1/Assets-AddOns_SonyOne?node-id=1-1706&t=IPYorOPcwsg2xgI8-1",directo,Confluence,CONFLUENCE,IN_SCOPE,"Fuente HN010 (Habilitar brand header). EPC consolidado: EPC-21813, EPC-21842. Superficies/canal de cobertura: Home del add-on, Brand header. Dispositivos aplicables: WEB, AAF, Android, iOS, tvOS, Windows/XBOX, Consolas, Roku, Fire TV, Android TV STV. Sin split de usuario: la HN no diferencia tipos de usuario.",UNIQUE,,False,"BRF: BRF-17442
HN: HN010
Comportamiento: BRF-17442:HN010:habilitar-brand-header
Fuente HN: CONFLUENCE
Confluence: pageId=6399164496
Extracto: Habilitar brand header

 Historia de negocio
 Yo como negocio de Claro Uruguay
 Quiero habilitar el header del add on Sony One
 Para mostrar a los usuarios la imagen comercial en la home del add on.

 Criterios de aceptación
 Cuando el usuario ingrese a la home del add on, se debe visualizar el brandheader compartido en: https://www.figma.com/design/psrFkITfuRUxSgEif2Nha1/Assets-AddOns_SonyOne?nod"
